
bin/sobel-sequential-g,title
sequential,execution_mode
TIME,measurement_type
28311929,,instructions:u,7879640,91.00,2.01,insn per cycle
298,,page-faults:u,11500444,100.00,25.968,K/sec
121309,,cache-references:u,11500444,100.00,10.571,M/sec
21058,,cache-misses:u,11500444,100.00,17.359,of all cache refs
939353,,branches:u,11500444,100.00,81.856,M/sec
1151,,branch-misses:u,9328900,81.00,0.12,of all branches
2931018,ns,duration_time:u,2931018,100.00,255.411,M/sec

bin/sobel-parallel-O3,title
parallel,execution_mode
1,num_threads
TIME,measurement_type
0.004946688,omp_wtime
5.69,msec,cpu-clock:u,5693129,100.00,0.951,CPUs utilized
9063417,,cycles:u,5693129,100.00,1.592,GHz
32467003,,instructions:u,5693129,100.00,3.58,insn per cycle
5985728,ns,duration_time:u,5985728,100.00,1.051,G/sec
CACHE,measurement_type
0.005074248,omp_wtime
5.80,msec,cpu-clock:u,5801723,100.00,0.943,CPUs utilized
8857798,,cycles:u,4814281,82.00,1.527,GHz
31656773,,instructions:u,4804001,82.00,3.57,insn per cycle
281,,page-faults:u,5801723,100.00,48.432,K/sec
109226,,cache-references:u,4801307,82.00,18.826,M/sec
20797,,cache-misses:u,4802448,82.00,19.040,of all cache refs
748402,,branches:u,4801467,82.00,128.992,M/sec
238,,branch-misses:u,4985111,85.00,0.03,of all branches
6154925,ns,duration_time:u,6154925,100.00,1.061,G/sec

bin/sobel-parallel-O3,title
parallel,execution_mode
2,num_threads
TIME,measurement_type
0.002874612,omp_wtime
3.71,msec,cpu-clock:u,3710420,100.00,0.928,CPUs utilized
5396602,,cycles:u,3710420,100.00,1.454,GHz
16460048,,instructions:u,3710420,100.00,3.05,insn per cycle
3998350,ns,duration_time:u,3998350,100.00,1.077,G/sec
CACHE,measurement_type
0.003136954,omp_wtime
7.29,msec,cpu-clock:u,7280687,100.00,1.512,CPUs utilized
10357396,,cycles:u,5576179,76.00,1.421,GHz
28077339,,instructions:u,5288761,72.00,2.71,insn per cycle
284,,page-faults:u,7280687,100.00,38.954,K/sec
109666,,cache-references:u,5282739,72.00,15.042,M/sec
16378,,cache-misses:u,6369378,91.00,14.934,of all cache refs
793820,,branches:u,7280687,100.00,108.883,M/sec
1961,,branch-misses:u,6605691,90.00,0.25,of all branches
4820893,ns,duration_time:u,4820893,100.00,661.250,M/sec

bin/sobel-parallel-O3,title
parallel,execution_mode
4,num_threads
TIME,measurement_type
0.001673950,omp_wtime
2.42,msec,cpu-clock:u,2425630,100.00,0.877,CPUs utilized
3018481,,cycles:u,2425630,100.00,1.245,GHz
8396333,,instructions:u,2425630,100.00,2.78,insn per cycle
2766409,ns,duration_time:u,2766409,100.00,1.141,G/sec
CACHE,measurement_type
0.001653231,omp_wtime
7.33,msec,cpu-clock:u,7338395,100.00,2.430,CPUs utilized
11371355,,cycles:u,5368149,73.00,1.551,GHz
20652102,,instructions:u,3351537,45.00,1.82,insn per cycle
285,,page-faults:u,7338395,100.00,38.884,K/sec
108830,,cache-references:u,6048686,91.00,14.848,M/sec
17846,,cache-misses:u,7338395,100.00,16.398,of all cache refs
786148,,branches:u,7338395,100.00,107.258,M/sec
4902,,branch-misses:u,7246813,98.00,0.62,of all branches
3016788,ns,duration_time:u,3016788,100.00,411.594,M/sec

bin/sobel-parallel-O3,title
parallel,execution_mode
8,num_threads
TIME,measurement_type
0.001064617,omp_wtime
2.01,msec,cpu-clock:u,2012505,100.00,0.854,CPUs utilized
1864854,,cycles:u,2012505,100.00,0.926,GHz
4360756,,instructions:u,2012505,100.00,2.34,insn per cycle
2357171,ns,duration_time:u,2357171,100.00,1.171,G/sec
CACHE,measurement_type
0.001322100,omp_wtime
10.18,msec,cpu-clock:u,10199281,100.00,3.683,CPUs utilized
14551716,,cycles:u,6192015,60.00,1.429,GHz
14435321,,instructions:u,4363795,81.00,0.99,insn per cycle
295,,page-faults:u,10199281,100.00,28.970,K/sec
120708,,cache-references:u,10199281,100.00,11.854,M/sec
23010,,cache-misses:u,10199281,100.00,19.063,of all cache refs
885506,,branches:u,10199281,100.00,86.961,M/sec
4215,,branch-misses:u,9842752,96.00,0.48,of all branches
2765137,ns,duration_time:u,2765137,100.00,271.549,M/sec
