,,,,,,,
bin/sobel-sequential-g,title,,,,,,
sequential,execution_mode,,,,,,
TIME,measurement_type,,,,,,
3.467901647,omp_wtime,,,,,,
306,,page-faults:u,5896880697,100,51.892,/sec,
11959472,,cache-references:u,4914356298,83,2.028,M/sec,
440963,,cache-misses:u,4911729321,83,3.687,of all cache refs,
2245255526,,branches:u,4915582736,83,380.757,M/sec,
39022949,,branch-misses:u,4914013514,83,1.74,of all branches,
738638069,ns,duration_time:u,738638069,100,125.26,M/sec,
,,,,,,,
bin/sobel-parallel-O1,title,,,,,,
parallel,execution_mode,,,,,,
1,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.214707019,omp_wtime,,,,,,
215.23,msec,cpu-clock:u,215234447,100,0.998,CPUs utilized,
873213112,,cycles:u,215234447,100,4.057,GHz,
3217604853,,instructions:u,215234447,100,3.68,insn per cycle,
215572633,ns,duration_time:u,215572633,100,1.002,G/sec,
CACHE,measurement_type,,,,,,
0.205014578,omp_wtime,,,,,,
205.37,msec,cpu-clock:u,205373217,100,0.998,CPUs utilized,
872162539,,cycles:u,170918005,83,4.247,GHz,
3218877318,,instructions:u,171379030,83,3.69,insn per cycle,
287,,page-faults:u,205373217,100,1.397,K/sec,
8958454,,cache-references:u,171370387,83,43.621,M/sec,
119703,,cache-misses:u,170497659,83,1.336,of all cache refs,
69927394,,branches:u,171373259,83,340.496,M/sec,
6037,,branch-misses:u,171327745,83,0.01,of all branches,
205722517,ns,duration_time:u,205722517,100,1.002,G/sec,
,,,,,,,
bin/sobel-parallel-O1,title,,,,,,
parallel,execution_mode,,,,,,
2,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.11256768,omp_wtime,,,,,,
112.99,msec,cpu-clock:u,112988723,100,0.997,CPUs utilized,
451145873,,cycles:u,112988723,100,3.993,GHz,
1610756170,,instructions:u,112988723,100,3.57,insn per cycle,
113284575,ns,duration_time:u,113284575,100,1.003,G/sec,
CACHE,measurement_type,,,,,,
0.109808264,omp_wtime,,,,,,
220.12,msec,cpu-clock:u,220119658,100,1.991,CPUs utilized,
875770012,,cycles:u,182129068,82,3.979,GHz,
3212535558,,instructions:u,182943503,83,3.67,insn per cycle,
281,,page-faults:u,220119658,100,1.277,K/sec,
8983818,,cache-references:u,184127683,83,40.814,M/sec,
148167,,cache-misses:u,184120534,83,1.649,of all cache refs,
70031880,,branches:u,184121743,83,318.156,M/sec,
1587,,branch-misses:u,183155759,83,0,of all branches,
110533595,ns,duration_time:u,110533595,100,502.156,M/sec,
,,,,,,,
bin/sobel-parallel-O1,title,,,,,,
parallel,execution_mode,,,,,,
4,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.065518577,omp_wtime,,,,,,
65.95,msec,cpu-clock:u,65870478,100,0.985,CPUs utilized,
226874688,,cycles:u,65870478,100,3.44,GHz,
805591390,,instructions:u,65870478,100,3.55,insn per cycle,
66924965,ns,duration_time:u,66924965,100,1.015,G/sec,
CACHE,measurement_type,,,,,,
0.063710135,omp_wtime,,,,,,
255.14,msec,cpu-clock:u,255149427,100,3.956,CPUs utilized,
882300348,,cycles:u,211144011,82,3.458,GHz,
3227315295,,instructions:u,211228025,82,3.66,insn per cycle,
287,,page-faults:u,255149427,100,1.125,K/sec,
8987481,,cache-references:u,211245543,82,35.225,M/sec,
200569,,cache-misses:u,213221402,84,2.232,of all cache refs,
70196868,,branches:u,215150218,84,275.127,M/sec,
2624,,branch-misses:u,213757936,83,0,of all branches,
64499255,ns,duration_time:u,64499255,100,252.796,M/sec,
,,,,,,,
bin/sobel-parallel-O1,title,,,,,,
parallel,execution_mode,,,,,,
8,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.039073062,omp_wtime,,,,,,
39.61,msec,cpu-clock:u,39515473,100,0.981,CPUs utilized,
113180470,,cycles:u,39515473,100,2.858,GHz,
402974667,,instructions:u,39515473,100,3.56,insn per cycle,
40374984,ns,duration_time:u,40374984,100,1.019,G/sec,
CACHE,measurement_type,,,,,,
0.040545734,omp_wtime,,,,,,
324.08,msec,cpu-clock:u,324089102,100,7.851,CPUs utilized,
935126161,,cycles:u,268267245,82,2.886,GHz,
3198686675,,instructions:u,268034236,82,3.42,insn per cycle,
290,,page-faults:u,324089102,100,894.849,/sec,
6688790,,cache-references:u,268305678,83,20.64,M/sec,
190957,,cache-misses:u,268573688,84,2.855,of all cache refs,
71610508,,branches:u,275973296,85,220.968,M/sec,
3834,,branch-misses:u,271291367,83,0.01,of all branches,
41276796,ns,duration_time:u,41276796,100,127.367,M/sec,
,,,,,,,
bin/sobel-parallel-O2,title,,,,,,
parallel,execution_mode,,,,,,
1,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.204342298,omp_wtime,,,,,,
204.83,msec,cpu-clock:u,204829596,100,0.999,CPUs utilized,
867727142,,cycles:u,204829596,100,4.236,GHz,
3217603129,,instructions:u,204829596,100,3.71,insn per cycle,
205056317,ns,duration_time:u,205056317,100,1.001,G/sec,
CACHE,measurement_type,,,,,,
0.203927409,omp_wtime,,,,,,
204.38,msec,cpu-clock:u,204377279,100,0.999,CPUs utilized,
871051072,,cycles:u,170382329,83,4.262,GHz,
3216758407,,instructions:u,170384349,83,3.69,insn per cycle,
284,,page-faults:u,204377279,100,1.39,K/sec,
8937524,,cache-references:u,170390845,83,43.731,M/sec,
132420,,cache-misses:u,170391987,83,1.482,of all cache refs,
69988887,,branches:u,170385744,83,342.451,M/sec,
855,,branch-misses:u,169951141,83,0,of all branches,
204631580,ns,duration_time:u,204631580,100,1.001,G/sec,
,,,,,,,
bin/sobel-parallel-O2,title,,,,,,
parallel,execution_mode,,,,,,
2,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.11419903,omp_wtime,,,,,,
114.99,msec,cpu-clock:u,114980530,100,0.998,CPUs utilized,
452331692,,cycles:u,114980530,100,3.934,GHz,
1609113846,,instructions:u,114980530,100,3.56,insn per cycle,
115252346,ns,duration_time:u,115252346,100,1.002,G/sec,
CACHE,measurement_type,,,,,,
0.111438142,omp_wtime,,,,,,
223.38,msec,cpu-clock:u,223386636,100,1.992,CPUs utilized,
884406537,,cycles:u,185379854,82,3.959,GHz,
3219891132,,instructions:u,185396166,82,3.64,insn per cycle,
283,,page-faults:u,223386636,100,1.267,K/sec,
8951270,,cache-references:u,185386056,82,40.071,M/sec,
144903,,cache-misses:u,186947209,83,1.619,of all cache refs,
70105410,,branches:u,187387029,83,313.833,M/sec,
1647,,branch-misses:u,186436866,83,0,of all branches,
112157631,ns,duration_time:u,112157631,100,502.083,M/sec,
,,,,,,,
bin/sobel-parallel-O2,title,,,,,,
parallel,execution_mode,,,,,,
4,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.07473235,omp_wtime,,,,,,
75.28,msec,cpu-clock:u,75280883,100,0.996,CPUs utilized,
224625182,,cycles:u,75280883,100,2.984,GHz,
805192295,,instructions:u,75280883,100,3.58,insn per cycle,
75557458,ns,duration_time:u,75557458,100,1.004,G/sec,
CACHE,measurement_type,,,,,,
0.118246082,omp_wtime,,,,,,
473.88,msec,cpu-clock:u,473891030,100,3.959,CPUs utilized,
881979694,,cycles:u,393889222,83,1.861,GHz,
3216938101,,instructions:u,393929886,83,3.65,insn per cycle,
283,,page-faults:u,473891030,100,597.202,/sec,
9008991,,cache-references:u,393881965,83,19.011,M/sec,
207388,,cache-misses:u,394717605,83,2.302,of all cache refs,
70241836,,branches:u,397089198,83,148.228,M/sec,
2921,,branch-misses:u,395947274,83,0,of all branches,
119705278,ns,duration_time:u,119705278,100,252.609,M/sec,
,,,,,,,
bin/sobel-parallel-O2,title,,,,,,
parallel,execution_mode,,,,,,
8,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.060667568,omp_wtime,,,,,,
61.58,msec,cpu-clock:u,61576605,100,0.995,CPUs utilized,
114555105,,cycles:u,61576605,100,1.86,GHz,
403128614,,instructions:u,61576605,100,3.52,insn per cycle,
61867679,ns,duration_time:u,61867679,100,1.005,G/sec,
CACHE,measurement_type,,,,,,
0.061270509,omp_wtime,,,,,,
489.92,msec,cpu-clock:u,489946056,100,7.816,CPUs utilized,
912723385,,cycles:u,405705440,82,1.863,GHz,
3196300108,,instructions:u,404513129,83,3.5,insn per cycle,
291,,page-faults:u,489946056,100,593.973,/sec,
6858922,,cache-references:u,409963706,83,14,M/sec,
204657,,cache-misses:u,410004184,83,2.984,of all cache refs,
70836219,,branches:u,409933820,83,144.587,M/sec,
8474,,branch-misses:u,409610001,83,0.01,of all branches,
62678890,ns,duration_time:u,62678890,100,127.937,M/sec,
,,,,,,,
bin/sobel-parallel-O3,title,,,,,,
parallel,execution_mode,,,,,,
1,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.463103592,omp_wtime,,,,,,
463.13,msec,cpu-clock:u,463138770,100,0.997,CPUs utilized,
872506650,,cycles:u,463138770,100,1.884,GHz,
3217603400,,instructions:u,463138770,100,3.69,insn per cycle,
464365840,ns,duration_time:u,464365840,100,1.003,G/sec,
CACHE,measurement_type,,,,,,
0.468023561,omp_wtime,,,,,,
468.98,msec,cpu-clock:u,468982411,100,0.999,CPUs utilized,
873738114,,cycles:u,390582142,83,1.863,GHz,
3216529859,,instructions:u,390962499,83,3.68,insn per cycle,
286,,page-faults:u,468982411,100,609.833,/sec,
8966334,,cache-references:u,391021507,83,19.119,M/sec,
134027,,cache-misses:u,391044693,83,1.495,of all cache refs,
69982354,,branches:u,390937088,83,149.222,M/sec,
1454,,branch-misses:u,390364126,83,0,of all branches,
469523143,ns,duration_time:u,469523143,100,1.001,G/sec,
,,,,,,,
bin/sobel-parallel-O3,title,,,,,,
parallel,execution_mode,,,,,,
2,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.23788708,omp_wtime,,,,,,
238.84,msec,cpu-clock:u,238835084,100,0.998,CPUs utilized,
448979716,,cycles:u,238835084,100,1.88,GHz,
1610266606,,instructions:u,238835084,100,3.59,insn per cycle,
239304188,ns,duration_time:u,239304188,100,1.002,G/sec,
CACHE,measurement_type,,,,,,
0.235305637,omp_wtime,,,,,,
471.6,msec,cpu-clock:u,471602378,100,1.988,CPUs utilized,
877585197,,cycles:u,392220403,83,1.861,GHz,
3213103467,,instructions:u,391767938,83,3.66,insn per cycle,
278,,page-faults:u,471602378,100,589.488,/sec,
9062412,,cache-references:u,393377466,83,19.216,M/sec,
139002,,cache-misses:u,393558355,83,1.534,of all cache refs,
70143240,,branches:u,393681512,83,148.736,M/sec,
6401,,branch-misses:u,393406216,83,0.01,of all branches,
237191615,ns,duration_time:u,237191615,100,502.956,M/sec,
,,,,,,,
bin/sobel-parallel-O3,title,,,,,,
parallel,execution_mode,,,,,,
4,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.116995215,omp_wtime,,,,,,
118.14,msec,cpu-clock:u,118130378,100,0.997,CPUs utilized,
220712669,,cycles:u,118130378,100,1.868,GHz,
805008097,,instructions:u,118130378,100,3.65,insn per cycle,
118470773,ns,duration_time:u,118470773,100,1.003,G/sec,
CACHE,measurement_type,,,,,,
0.12083648,omp_wtime,,,,,,
483.82,msec,cpu-clock:u,483844961,100,3.956,CPUs utilized,
901425795,,cycles:u,401639426,83,1.863,GHz,
3217124811,,instructions:u,402206340,83,3.57,insn per cycle,
287,,page-faults:u,483844961,100,593.192,/sec,
9014734,,cache-references:u,403845675,83,18.632,M/sec,
196338,,cache-misses:u,403927037,83,2.178,of all cache refs,
70537408,,branches:u,403918532,83,145.792,M/sec,
6951,,branch-misses:u,403687795,83,0.01,of all branches,
122287422,ns,duration_time:u,122287422,100,252.753,M/sec,
,,,,,,,
bin/sobel-parallel-O3,title,,,,,,
parallel,execution_mode,,,,,,
8,num_threads,,,,,,
TIME,measurement_type,,,,,,
0.064216074,omp_wtime,,,,,,
65.27,msec,cpu-clock:u,65261526,100,0.994,CPUs utilized,
121095025,,cycles:u,65261526,100,1.855,GHz,
402931214,,instructions:u,65261526,100,3.33,insn per cycle,
65640726,ns,duration_time:u,65640726,100,1.006,G/sec,
CACHE,measurement_type,,,,,,
0.060929579,omp_wtime,,,,,,
486.8,msec,cpu-clock:u,486827946,100,7.807,CPUs utilized,
896585808,,cycles:u,400707141,83,1.842,GHz,
3219379555,,instructions:u,406727826,83,3.59,insn per cycle,
296,,page-faults:u,486827946,100,608.048,/sec,
7047242,,cache-references:u,406937462,83,14.477,M/sec,
219187,,cache-misses:u,406846306,83,3.11,of all cache refs,
70770884,,branches:u,406869058,83,145.379,M/sec,
5004,,branch-misses:u,406051937,83,0.01,of all branches,
62355464,ns,duration_time:u,62355464,100,128.092,M/sec,
